frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,head_position_ratio,shoulder_elbow_angle,wrist_shoulder_hip_angle
120,161.47290813355468,-0.015033304691314697,-0.038466691970825195,0.0856015682220459,98.74564703412852,108.90677398244415
121,161.26168158089848,-0.015239238739013672,-0.03810149431228638,0.08595860004425049,98.65763148990618,108.95298453141899
122,161.24165576532627,-0.015214264392852783,-0.03813183307647705,0.08620190620422363,98.64890903027862,108.99006272088499
123,161.28770938687398,-0.015145063400268555,-0.038124680519104004,0.0862588882446289,98.53727979338498,108.98226306553718
124,161.32424727385455,-0.015106201171875,-0.03812187910079956,0.0862727165222168,98.49422982445486,109.03036651455051
125,161.41360192249167,-0.014973819255828857,-0.037996888160705566,0.08627176284790039,98.44786971422764,109.01016593581295
126,161.62660730285256,-0.014640748500823975,-0.037769317626953125,0.08639079332351685,98.32883795838023,108.90506146994503
127,161.91061561623033,-0.014097988605499268,-0.03748941421508789,0.08669412136077881,98.12950475182032,108.70918037532607
128,162.36094082278018,-0.013417184352874756,-0.03690695762634277,0.08679479360580444,97.88068135353643,108.44539394811343
129,162.71374854235964,-0.01294320821762085,-0.036527037620544434,0.08687633275985718,97.6276621537142,108.25777458649691
130,163.1970898691187,-0.012123465538024902,-0.03611057996749878,0.08685481548309326,97.33714481686201,108.01028737942198
131,163.51142047439677,-0.011793553829193115,-0.03579622507095337,0.08687472343444824,97.20533385707489,107.91379875262464
132,163.8518533527624,-0.011247336864471436,-0.03545457124710083,0.08682340383529663,97.01486933228614,107.71085708033743
133,164.13559735320925,-0.010724365711212158,-0.03515005111694336,0.08681023120880127,96.85080063523344,107.54624864952896
134,164.252918950761,-0.010474443435668945,-0.03511786460876465,0.08654642105102539,96.76935047146657,107.51341772523517
135,164.28520058340834,-0.010382115840911865,-0.03507190942764282,0.08625966310501099,97.07188770134303,107.67637421096069
136,164.29730277019962,-0.010514795780181885,-0.03493219614028931,0.08586925268173218,97.19816153574072,107.7519687326363
